Time (s),Torque (Nm)
0.003,0.573
0.017,0.170
0.025,-1.038
0.034,1.178
0.050,-1.844
0.056,-1.643
0.069,-1.038
0.077,-0.434
0.088,0.573
0.098,-0.031
0.108,-0.434
0.126,-1.038
0.139,-2.650
0.141,-1.643
0.153,-2.046
0.163,-0.636
0.172,0.372
0.183,-1.038
0.193,-1.038
0.209,0.372
0.226,-0.233
0.227,0.573
0.240,0.573
0.246,-0.636
0.256,-1.240
0.273,-0.837
0.284,-2.046
0.288,-0.434
0.299,-0.233
0.310,0.372
0.321,0.170
0.337,0.372
0.344,-1.240
0.352,-0.031
0.365,-1.844
0.373,-1.240
0.386,-0.434
0.397,-1.240
0.405,0.372
0.419,-0.837
0.427,-0.636
0.443,0.372
0.447,0.372
0.458,-0.636
0.470,0.372
0.478,-1.240
0.489,-1.240
0.499,-0.636
0.510,-1.441
0.520,-0.636
0.531,-1.844
0.545,-2.449
0.553,1.178
0.563,-0.837
0.574,-1.844
0.585,-1.844
0.597,-2.650
0.607,-0.434
0.617,-1.038
0.627,-1.844
0.637,-1.643
0.649,-1.240
0.658,-1.038
0.670,-1.038
0.681,-0.434
0.691,-0.031
0.701,-0.636
0.712,-1.844
0.722,-0.233
0.732,-1.240
0.743,-0.031
0.756,-0.837
0.764,-0.233
0.775,0.170
0.785,-1.643
0.796,-0.636
0.806,-2.046
0.817,-0.434
0.828,-0.233
0.838,-0.031
0.850,0.372
0.859,-1.038
0.870,-1.038
0.880,-1.038
0.891,0.372
0.902,-0.636
0.912,-2.449
0.923,-2.449
0.934,-1.240
0.944,-1.441
0.955,-1.441
0.965,0.372
0.975,-2.449
0.988,-0.233
0.998,-1.441
1.009,-0.837
1.019,0.573
1.028,-0.636
1.039,-1.844
1.052,-1.240
1.060,-1.643
1.071,-2.247
1.081,-2.046
1.093,-2.046
1.102,-0.434
1.113,-1.441
1.125,-1.038
1.135,-1.844
1.145,-1.643
1.155,-1.643
1.166,-0.636
1.177,-2.046
1.187,-1.643
1.197,-1.441
1.208,-0.636
1.218,-0.031
1.231,-0.031
1.240,-0.636
1.250,-0.233
1.261,-1.038
1.271,-2.449
1.282,-0.434
1.293,-1.643
1.303,-1.643
1.315,-0.233
1.324,-0.233
1.335,-0.837
1.345,-1.240
1.356,-0.233
1.367,-0.837
1.376,-0.837
1.388,0.170
1.398,-0.031
1.409,-0.031
1.419,0.573
1.432,0.170
1.440,-0.837
1.453,0.372
1.462,-1.038
1.472,-0.031
1.483,0.372
1.493,-0.233
1.504,-1.844
1.515,0.170
1.525,-0.233
1.536,1.178
1.546,-1.038
1.557,-0.031
1.567,0.170
1.578,-0.434
1.588,-0.434
1.599,-1.038
1.610,0.170
1.621,-0.636
1.631,0.775
1.641,-0.837
1.653,0.372
1.666,0.170
1.672,0.573
1.684,-0.233
1.693,-1.643
1.705,-0.434
1.715,-0.636
1.726,-0.233
1.736,0.170
1.749,-1.441
1.757,-0.434
1.768,-0.434
1.779,-0.434
1.789,-0.636
1.801,-0.233
1.813,-1.038
1.821,-0.233
1.831,0.170
1.842,-0.233
1.856,0.372
1.865,-0.434
1.874,-0.233
1.884,-0.031
1.898,-0.233
1.905,-1.240
1.916,-1.441
1.927,-0.233
1.938,-0.636
1.948,-1.038
1.958,-1.441
1.969,0.775
1.979,-1.643
1.990,-0.434
2.000,-0.233
2.011,-0.837
2.022,-1.038
2.033,0.775
2.043,-1.844
2.053,-0.434
2.065,-0.837
2.075,0.170
2.085,0.976
2.097,-0.837
2.109,-0.837
2.117,-0.031
2.129,-1.643
2.138,-1.643
2.149,-1.240
2.159,0.573
2.170,0.170
2.180,-0.636
2.191,-0.031
2.201,-0.434
2.212,-0.434
2.223,1.178
2.233,-0.837
2.244,-0.636
2.254,-1.643
2.265,-0.031
2.275,-0.636
2.286,1.379
2.296,0.976
2.309,0.573
2.321,0.976
2.328,-1.441
2.341,-1.038
2.349,-0.434
2.360,-1.441
2.370,0.170
2.381,-0.434
2.392,-1.038
2.402,-0.233
2.413,-2.046
2.423,-0.837
2.434,-0.233
2.444,-1.441
2.455,1.178
2.466,-0.434
2.476,-0.233
2.487,-0.233
2.497,0.170
2.508,-0.434
2.521,0.170
2.529,-0.636
2.539,-0.837
2.550,0.372
2.561,-1.038
2.571,-0.434
2.582,-0.233
2.592,-0.837
2.603,0.775
2.615,-0.434
2.627,-0.837
2.635,-0.031
2.645,-0.837
2.656,-0.636
2.666,-0.434
2.677,-0.636
2.687,-0.636
2.698,-0.233
2.709,-0.636
2.719,-0.031
2.730,-0.434
2.741,-0.636
2.751,0.170
2.761,-1.240
2.772,-0.434
2.783,1.178
2.793,-1.038
2.805,-0.233
2.821,-0.636
2.830,-1.240
2.835,0.573
2.853,-1.441
2.856,-1.643
2.872,-0.636
2.878,-1.038
2.889,-0.837
2.899,-2.247
2.909,-0.434
2.920,0.573
2.930,0.170
2.941,-1.643
2.952,0.775
2.962,-0.031
2.973,-1.240
2.983,-0.031
2.994,-0.031
3.005,-1.441
3.015,-0.233
3.026,-0.636
3.036,-0.434
3.047,-0.636
3.057,-0.233
3.068,0.573
3.079,-0.837
3.089,-1.240
3.100,-0.233
3.110,-1.240
3.121,-0.837
3.131,-0.434
3.142,-0.434
3.152,0.573
3.163,0.170
3.174,-1.441
3.184,-0.031
3.195,-0.636
3.205,-0.233
3.216,0.372
3.226,-1.844
3.237,-1.038
3.248,-0.031
3.258,-0.837
3.269,-0.031
3.279,0.170
3.290,-0.837
3.303,-0.233
3.311,-0.233
3.322,-0.434
3.332,-0.233
3.343,-1.643
3.353,-0.031
3.364,0.170
3.375,-1.643
3.385,0.170
3.395,-0.434
3.406,-0.636
3.417,0.170
3.429,-0.837
3.439,-0.031
3.448,-0.636
3.459,-0.636
3.469,-0.434
3.480,0.775
3.491,-0.837
3.505,-0.031
3.512,-0.233
3.522,-1.441
3.533,-1.844
3.543,-2.046
3.554,-0.434
3.565,-2.046
3.575,-0.837
3.586,-0.636
3.596,-0.233
3.607,-1.038
3.617,0.775
3.628,-0.434
3.642,-1.038
3.649,-0.636
3.660,-0.434
3.670,-0.031
3.682,0.372
3.691,-0.434
3.702,1.178
3.713,0.573
3.724,-0.434
3.734,0.372
3.744,-0.434
3.755,-0.031
3.765,-0.837
3.776,-0.434
3.787,-0.031
3.797,0.372
3.809,0.372
3.818,0.976
3.829,0.976
3.839,0.170
3.850,-0.233
3.861,-0.233
3.871,0.170
3.882,0.573
3.893,-0.636
3.903,0.775
3.913,1.178
3.924,0.372
3.937,1.782
3.945,-0.233
3.956,0.573
3.966,-0.233
3.977,-1.240
3.989,-1.441
3.998,1.178
4.008,0.372
4.019,1.580
4.030,-0.233
4.040,-0.636
4.051,0.372
4.061,-1.038
4.072,-1.038
4.082,-0.233
4.094,-1.643
4.104,-1.240
4.114,1.379
4.125,0.372
4.135,1.178
4.146,0.976
4.156,-0.031
4.167,-0.031
4.178,-1.240
4.188,0.372
4.199,1.580
4.209,0.170
4.220,0.976
4.230,0.976
4.241,0.573
4.251,0.573
4.262,1.178
4.273,0.170
4.283,0.976
4.294,-0.636
4.304,0.573
4.315,0.976
4.325,0.372
4.336,0.573
4.347,0.976
4.357,-0.233
4.368,-0.233
4.378,0.170
4.389,-0.031
4.399,1.178
4.410,-0.636
4.421,-0.636
4.431,1.580
4.442,-1.441
4.452,-0.434
4.463,1.580
4.473,0.775
4.484,1.178
4.494,-0.031
4.505,0.170
4.516,0.976
4.526,0.170
4.537,0.573
4.547,0.775
4.558,0.372
4.568,0.775
4.579,0.976
4.590,0.573
4.600,1.178
4.611,-0.636
4.621,-1.643
4.632,-0.233
4.643,-0.636
4.653,-1.441
4.664,1.379
4.674,-0.636
4.685,0.170
4.695,-0.233
4.706,-0.837
4.717,0.170
4.727,0.372
4.738,0.775
4.748,0.170
4.759,0.372
4.769,-1.643
4.780,0.170
4.791,0.976
4.801,0.372
4.812,-0.031
4.822,0.573
4.833,1.379
4.843,0.372
4.854,-0.233
4.864,1.178
4.875,-0.636
4.886,-0.031
4.896,-0.233
4.907,-1.038
4.917,1.580
4.928,-0.636
4.938,0.976
4.949,0.976
4.960,-0.233
4.970,-0.434
4.981,-0.031
4.991,-0.031
5.002,0.775
5.012,-0.837
5.023,0.372
5.035,0.170
5.044,-0.636
5.055,-0.636
5.065,0.170
5.076,-0.837
5.089,-0.233
5.097,-0.233
5.107,-0.636
5.118,-0.031
5.129,-0.837
5.139,-1.240
5.150,-1.240
5.160,-0.837
5.171,1.178
5.181,-1.441
5.192,-0.434
5.203,-0.031
5.213,-0.837
5.224,0.573
5.238,-0.031
5.245,0.170
5.258,-0.233
5.267,-1.441
5.278,-0.434
5.287,-1.038
5.298,-0.031
5.312,-1.643
5.321,-0.434
5.329,0.372
5.340,0.573
5.353,0.170
5.365,-0.233
5.372,-2.046
5.385,-2.247
5.393,0.170
5.405,-0.434
5.414,-0.233
5.424,-0.434
5.435,-0.837
5.446,-0.031
5.456,-0.837
5.467,-0.031
5.479,-0.031
5.488,-0.233
5.499,0.573
5.509,-2.247
5.521,-0.233
5.530,-0.031
5.544,-1.038
5.557,-0.031
5.573,-1.643
5.573,-0.434
5.585,0.170
5.597,-0.434
5.606,-1.441
5.617,-0.837
5.625,-1.643
5.640,-0.031
5.652,-1.643
5.657,-2.046
5.673,-1.240
5.680,-1.038
5.689,-1.643
5.699,-0.031
5.710,-2.650
5.722,-0.837
5.731,-0.031
5.743,-1.643
5.752,-0.031
5.764,-1.643
5.774,-1.240
5.784,-1.240
5.794,-1.240
5.805,-1.240
5.818,-1.643
5.826,-2.449
5.837,-1.844
5.847,-1.441
5.858,-0.031
5.868,-1.643
5.879,0.170
5.889,-0.636
5.900,-0.434
5.911,-0.031
5.921,-2.449
5.932,-1.643
5.948,-1.240
5.953,-0.636
5.963,-2.046
5.975,-0.434
5.991,0.170
5.997,-1.240
6.006,-0.233
6.016,-0.031
6.027,-0.434
6.037,-0.837
6.048,-1.038
6.058,-1.240
6.069,-1.240
6.080,-0.233
6.090,-1.441
6.101,-0.233
